query,completo
0,0.9597696063936791
1,0.9705669479986534
2,0.9974537474936096
3,0.8782635757405801
4,1.0
5,1.0
6,1.0
7,1.0
8,0.9572571512658856
9,1.0
10,0.9560914691434983
11,1.0
12,1.0
13,0.9938203652479539
14,0.9473635789834088
15,0.9838112289299259
16,1.0
17,1.0
18,1.0
19,0.9817058637715745
20,0.8464826496602891
21,0.9323376556024546
22,0.9618872713424222
23,1.0
24,0.9817058637715745
25,1.0
26,0.8637454859709814
27,1.0
28,0.9008636626471189
29,0.9608008655106622
30,1.0
31,0.9220510804880664
32,0.9239166642947432
33,0.9744387709952584
34,1.0
35,0.9066994325921797
36,0.9316725259349941
37,1.0
38,0.9872788203615118
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,0.8952270037031589
48,0.94699559526091
49,0.9967982765022565
50,1.0
51,1.0
52,0.9634117275431491
53,0.9923932036942882
54,0.9533497162960898
55,1.0
56,0.964848990871815
57,0.9705669479986534
58,0.9053526499930562
59,1.0
60,1.0
61,0.9435593591982605
62,1.0
63,1.0
64,0.9243704511768338
65,1.0
66,0.960010250713034
67,0.9938920898506084
68,0.9938920898506084
69,1.0
70,0.9720075540143143
71,1.0
72,0.9892111729652074
73,0.9274918098849939
74,0.9608008655106622
75,1.0
76,1.0
77,0.9634117275431491
78,0.9892280566320075
79,1.0
80,0.9718788095129652
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,0.9764160827257359
88,0.9034735830644306
89,0.8687710659349749
90,1.0
91,0.8944836122933966
92,1.0
93,0.9294514316788369
94,1.0
95,1.0
96,0.9965034875989792
97,1.0
98,0.9308851311888157
99,0.9399337652641017
