query,completo
0,0.9928692404276749
1,0.9705669479986534
2,0.9880526871795848
3,0.9852187528613305
4,1.0
5,1.0
6,0.9633180389503199
7,1.0
8,0.9918750904541681
9,1.0
10,0.9836059148839339
11,1.0
12,0.9669545542157062
13,0.9899138256111094
14,0.9838938112173667
15,0.9600524280963627
16,1.0
17,1.0
18,1.0
19,0.9817058637715745
20,0.8761966712586802
21,0.9303168775031578
22,0.9592740111645237
23,1.0
24,0.9817058637715745
25,1.0
26,0.9379541076553658
27,0.9652843890316114
28,0.9634117275431491
29,0.8309156612681637
30,1.0
31,0.9616581564928876
32,0.9813162632348015
33,0.9954984077574129
34,1.0
35,0.9877841797012169
36,0.9509063195517695
37,0.872835412417681
38,0.9955082081581627
39,1.0
40,1.0
41,1.0
42,0.9634117275431491
43,1.0
44,1.0
45,0.9533497162960898
46,0.9504318313235595
47,0.9518657586731128
48,0.9634117275431491
49,0.9999999999999999
50,1.0
51,0.9681896059005243
52,0.9634117275431491
53,0.9921445356839093
54,0.9877841797012169
55,1.0
56,0.9884941732303262
57,0.9705669479986534
58,0.8478333285894863
59,1.0
60,0.9877841797012169
61,1.0
62,1.0
63,1.0
64,0.9874037851435693
65,1.0
66,0.9845502214680092
67,0.9938920898506084
68,0.9938920898506084
69,1.0
70,0.9166398417398186
71,1.0
72,0.9923177014231822
73,0.9720628422825806
74,0.8755458364887027
75,1.0
76,1.0
77,0.9504318313235595
78,0.9919120439086818
79,1.0
80,0.9938203652479539
81,1.0
82,1.0
83,1.0
84,0.9940685913327618
85,1.0
86,1.0
87,0.9936070796552217
88,0.9776373247732094
89,0.8536625828131476
90,1.0
91,0.913597477270533
92,1.0
93,0.9174085984310816
94,1.0
95,1.0
96,0.9948109095185554
97,1.0
98,0.9423276537018602
99,0.9813162632348015
