query,completo,solo_r,knn_euclideo
0,0.7917657799622266,0.6858110959091431,0.965112072329373
1,0.7948437455526435,0.7312562459084321,0.9803779653324356
2,0.8285101699327356,0.6260385692014656,0.8932731284656517
3,0.6599861779663274,0.6141538044964435,0.7558033360911339
4,0.8189669660428353,0.705676535740243,0.9593235502232003
5,0.8459329515100994,0.773241310438777,0.9643507295162422
6,0.5166088527991765,0.5583333333333333,0.9358954210171634
7,0.8360412641416888,0.7582269160613251,1.0
8,0.6411382645129995,0.6260385692014656,0.9068279045416897
9,0.6919854167506062,0.5670311652832194,0.8276541853512832
10,0.5590119262275651,0.6166008018265691,0.9192621345337227
11,0.8461538461538461,0.6541666666666667,1.0
12,0.7302265147206353,0.5893149793149902,0.9008636626471189
13,0.7669570472675766,0.6682867305123659,0.9692190317406701
14,0.7366461973619648,0.6435788393737141,0.9349477700727827
15,0.7685825037500248,0.7183379974827818,0.955036857756651
16,0.9256260162523627,0.8833333333333333,1.0
17,0.6287077910426436,0.6464729130494834,0.8478333285894863
18,0.6048653131488172,0.7582269160613251,0.8992886824402734
19,0.8645227494777382,0.6531261554191612,0.9712811862889028
20,0.7460936385305519,0.6784122870352806,0.8521839024374986
21,0.722222222222222,0.661111111111111,0.874669358222582
22,0.7459786466519244,0.6357035423642486,0.9387272128107143
23,0.8125,0.6833333333333333,1.0
24,0.9008636626471189,0.810777296382407,0.9643507295162422
25,0.9172824600619176,0.6791666666666667,1.0
26,0.6999999999999998,0.6388888888888888,0.8327531411697162
27,0.7635137892602802,0.6166666666666667,1.0
28,0.7149444597547523,0.6944157399571542,0.9092278410749921
29,0.3333933830886333,0.3416666666666667,0.7932627993742442
30,0.305320527400446,0.4541666666666666,0.984094802950262
31,0.7316754526463005,0.6445712320931695,0.8640262883364864
32,0.7114993619042543,0.7029951349554492,0.8823115494861625
33,0.666903791921539,0.6474747061116072,0.8675583844607885
34,0.825,0.7541666666666667,0.9895833333333333
35,0.8102257539867583,0.6676687462642206,0.8908386633963485
36,0.8006243934792615,0.6013236630511976,0.7994327245665387
37,0.7529646280442893,0.5416666666666666,0.9500000000000001
38,0.7986692667552584,0.6793332193389204,0.9512004378882102
39,0.9198692762714542,0.675,0.9827586206896551
40,0.9090909090909091,0.8333333333333334,1.0
41,0.6553054101796051,0.6208333333333333,1.0
42,0.9230750033451687,0.6606333526078871,0.9008636626471189
43,0.9648931575331846,0.6958333333333333,1.0
44,0.75,0.7625,1.0
45,0.8280131031719694,0.6182118020965004,0.9543585398727837
46,0.8534497856656915,0.6381117610417093,0.911195883058021
47,0.7830154447023959,0.6300276178788535,0.8872546808061927
48,0.8007677001307724,0.6456189582304352,0.9008636626471189
49,0.7141087768991377,0.651624258920463,0.9899078023717789
50,0.8125,0.7541666666666667,1.0
51,0.5789473684210527,0.4375,0.9481638483916118
52,0.7931215248400865,0.5893149793149902,0.9817058637715745
53,0.7237940074565392,0.6844301104835988,0.7780044816282714
54,0.7058362376114157,0.5934833300126404,0.914105646960961
55,0.9121221640718421,0.675,1.0
56,0.7507694295959677,0.5931341087237855,0.902845203355243
57,0.7407958206009098,0.7630499957305378,0.9762439721234207
58,0.7513620246550637,0.6500055519186062,0.8529606869457926
59,0.84375,0.7708333333333334,0.9919545468684952
60,0.7418541625158006,0.6641361073950977,0.8638301838458918
61,0.7780186177406936,0.6306045638529831,0.9643507295162422
62,1.0,0.5083333333333333,0.9727367786056391
63,0.7963099713091965,0.6381117610417093,0.9008636626471189
64,0.7653767786719984,0.7248387938400921,0.8780450360705117
65,0.7931034482758621,0.6791666666666667,1.0
66,0.8007314770011815,0.7171256904319406,0.8844684914346129
67,0.5609010512068706,0.6888645794789576,0.9673329897654457
68,0.9184861059719435,0.6182118020965004,0.9486212091024003
69,0.8431141768321891,0.5442717961826343,0.9445434598744695
70,0.6491897971810342,0.6248451797867455,0.8272393389938256
71,0.786477791566135,0.6958333333333333,1.0
72,0.7333179755181415,0.5805433972851953,0.8555080986573764
73,0.5555935322944064,0.6750371015276423,0.9211556329442819
74,0.7954545454545454,0.725,0.9865533063154842
75,0.9307692307692309,0.8541666666666666,0.9960482586131959
76,0.8478260869565217,0.675,1.0
77,0.7441917213171851,0.6869085427684282,0.9169505137658174
78,0.7801887696581079,0.6858110959091431,0.9225267418871582
79,0.9306416197970203,0.6217444409656233,0.9673329897654457
80,0.7705301549144795,0.6986634000811098,0.9092145293623569
81,0.6944207435658618,0.6994624960863263,0.9448125944689353
82,0.9124200274413922,0.6252770798347462,1.0
83,0.7006717376144258,0.6718941483909762,1.0
84,0.8179398391576935,0.5410986628273974,0.9546591208319479
85,0.45,0.42916666666666664,0.9163197722351846
86,0.7851552314484161,0.7125,1.0
87,0.744636673655537,0.7118372011254717,0.9289407432094784
88,0.6399021230069475,0.727723607039309,0.8556984974059615
89,0.7413892456886828,0.5789442975102977,0.8724358394349663
90,0.8333333333333335,0.7416666666666667,1.0
91,0.8101518473188427,0.706527773824572,0.8592338836545527
92,0.9117647058823528,0.6875,1.0
93,0.6790357153955562,0.6361111111111111,0.8885270808084428
94,0.5324687529133352,0.5166666666666667,1.0
95,0.7300102093864583,0.6005757750980792,1.0
96,0.6288121268850486,0.6386222590346609,0.8530261218737932
97,0.9870124988346659,0.6333333333333333,0.9583333333333334
98,0.7658119189764182,0.5694444444444444,0.9122328938329616
99,0.8007314770011815,0.607613885489132,0.9253606324199769
