query,completo
0,0.9856876541521103
1,0.9705669479986534
2,0.9824740301401436
3,0.9712545700542154
4,1.0
5,0.9634117275431491
6,0.9668728882728055
7,1.0
8,0.9928692404276747
9,0.9742321645223653
10,0.9811031470861756
11,1.0
12,1.0
13,1.0
14,0.9458370118419759
15,0.9772992425009424
16,1.0
17,0.9877841797012169
18,1.0
19,0.9817058637715745
20,0.8464826496602891
21,0.9322536887490996
22,0.9510540676568653
23,1.0
24,0.9569217794333542
25,1.0
26,0.9025647999189269
27,1.0
28,0.9008636626471189
29,0.9276737537834677
30,0.9681896059005243
31,0.8549253375737716
32,0.9411338959973067
33,0.9758089901245821
34,1.0
35,0.8786131631899565
36,0.9013644230618666
37,0.9550171294972071
38,0.9242792433310666
39,1.0
40,0.9350624941733298
41,1.0
42,1.0
43,1.0
44,0.9652843890316114
45,1.0
46,0.9504318313235595
47,0.8962163911968577
48,0.9350429234735965
49,0.9967982765022565
50,1.0
51,1.0
52,0.9634117275431491
53,0.8799900948233071
54,0.9066994325921797
55,1.0
56,0.9504735019553637
57,0.960010250713034
58,0.8145989959175642
59,1.0
60,0.9066994325921797
61,0.9435593591982605
62,1.0
63,0.9634117275431491
64,0.9766873555399654
65,0.9681896059005243
66,0.9938920898506084
67,0.9938920898506084
68,0.9669221775375065
69,0.9413870961246459
70,0.9647512106763886
71,1.0
72,0.986860882429595
73,0.9720628422825806
74,1.0
75,1.0
76,1.0
77,1.0
78,0.9597696063936791
79,1.0
80,0.9437576190259305
81,0.9705669479986534
82,1.0
83,1.0
84,0.9584565021709728
85,0.9840948029502621
86,1.0
87,0.9716793247112984
88,0.9706737328438101
89,0.8503210166744414
90,1.0
91,0.8748032409025883
92,1.0
93,0.908270890290288
94,1.0
95,1.0
96,0.9965034875989792
97,1.0
98,0.9308851311888157
99,0.9346659795308913
