query,completo,solo_r,knn_euclideo
0,0.9530541609091709,0.9512567492857024,0.955962714406959
1,0.9890089550008103,0.9722592029961341,0.9890089550008103
2,0.9774939341566602,0.9615728561119048,0.9768985054620872
3,0.9722435961517801,0.9662067950359086,0.9274260558964992
4,0.9761737386929681,0.9365417597342552,0.9652253316752066
5,0.9989458323520304,0.9931886574970067,0.9989458323520304
6,0.9690153008238787,0.9215565283803325,0.9682818928918047
7,0.9357613898300969,0.8796212038307905,0.9169343337237018
8,0.9476492290421217,0.96068021247268,0.949597809368448
9,0.9902681680727928,0.9914015001423662,0.9914937538727198
10,0.981900204072188,0.9754699510356195,0.9843267705088163
11,0.9686827781545201,0.9568177519936862,0.9699776768634768
12,0.9958548556233034,0.9845156948332016,0.9924825807678154
13,0.9924683291649251,0.988297360207281,0.9862359939715568
14,0.9730894511664778,0.9585544015704903,0.9745540048305781
15,0.9823414658661335,0.9259860789245544,0.9823414658661335
16,0.9727237226476526,0.9059246722571055,0.9740506510206693
17,0.9795757815311401,0.9576226955244237,0.9773153239653144
18,0.9611089390275658,0.9584822272717449,0.9732160102881435
19,0.9994905778524551,0.9983360743391052,0.9994864790004168
20,0.9645207909671469,0.9604544699578015,0.9617933651097537
21,0.9797398103548864,0.9699103959512373,0.9773137492245342
22,0.9543106736042557,0.952541771506022,0.9515624181737763
23,0.9624457770276357,0.9248060390309488,0.9686299499429476
24,0.963026780368391,0.9656233963455675,0.9774386148885561
25,0.9914978138641153,0.9841396750309986,0.9918787608498483
26,0.9421484418845458,0.9424435228589236,0.9480364733588442
27,0.9940902788556807,0.991096705103568,0.9935587730858624
28,0.976333781357733,0.9811565861865271,0.989098269896661
29,0.9860370502841934,0.964886276643523,0.9860370502841934
30,0.9381779167866863,0.964039964287753,0.9384157088468289
31,0.9550116623408693,0.949181655785967,0.9561210029112572
32,0.976503534058063,0.9586302649703652,0.9757074087658918
33,0.9354004311272045,0.921254718723269,0.9464975176561612
34,0.9535998471152749,0.9419057090136485,0.9561695299630507
35,0.9950890709996951,0.9916247984889814,0.9950890709996951
36,0.9822960489885358,0.9860873571428612,0.9820947320391125
37,0.9790965173445476,0.970008510057797,0.9817312141388144
38,0.9911248073063292,0.934411021950965,0.9882541629629876
39,0.9933621562531927,0.9689956569668724,0.9875963729543742
40,0.9658989341356965,0.9178954314651877,0.9658989341356965
41,0.9936955542287789,0.9766999926259798,0.9936955542287789
42,0.989421080137654,0.9484912018885394,0.989421080137654
43,0.9865107044432614,0.9866937204496056,0.9865107044432614
44,0.9622249990987877,0.9542511179877153,0.9657546131481786
45,0.9973639023939247,0.9869027149022147,0.9960147791786944
46,0.9902612383068978,0.9873159023963604,0.9902612383068978
47,0.9868569393824118,0.9731828075956129,0.9865353099500738
48,0.9811844670278866,0.9859111751676961,0.9787692061222473
49,0.9802791238940736,0.9646085037379643,0.9807020117887689
50,0.9276236879942186,0.9201167240945712,0.929998650273016
51,0.9779106061698821,0.9554016522633016,0.979279634685677
52,0.9949680760337567,0.9846843883878046,0.9949680760337567
53,0.9796829536249829,0.9111435268291127,0.9796829536249829
54,0.9887756321307595,0.9794041740903264,0.9840927625363972
55,0.9786530828729274,0.9553892313159571,0.9580655818726238
56,0.9602244991541281,0.9479457921707566,0.9415547165040632
57,0.9933782834057363,0.9727981591275966,0.9933782834057363
58,0.9585595400199628,0.9544362652709296,0.9652216511041051
59,0.9658592850670019,0.9621624010352318,0.9628596118665541
60,0.9789415794215077,0.9676108040887205,0.9793650499465199
61,0.9796668144804411,0.9795214789780236,0.9810435383219264
62,0.9788558499345066,0.9404801638956221,0.9721923083022422
63,0.9587247148787732,0.9675887632158476,0.9800950412400299
64,0.9636388161803432,0.9563177027097509,0.9584169471059443
65,0.9781425722423638,0.9531820469449334,0.962926830611919
66,0.9824145199584574,0.9620350537301997,0.9723573148696688
67,0.9703105488981011,0.9584422707023091,0.9678238620797027
68,0.9950190279840384,0.9997097287461474,0.9951881495385848
69,0.9909405409104171,0.9772892227987641,0.9919096928999259
70,0.9738016977616006,0.9273879972765954,0.9694482200511232
71,0.987161968415989,0.9858373720092588,0.98484245034672
72,0.9722128749435007,0.954761786389566,0.9844336480818382
73,0.9743637577586164,0.971995226400246,0.9783554807144409
74,0.9337106271489788,0.93929174402505,0.9400587625352196
75,0.9838916078745088,0.9802292451801609,0.9597196933190857
76,0.9941005344331004,0.9860740468135677,0.9941005344331004
77,0.9845569298826016,0.9797411601442237,0.9843891624441741
78,0.9682864938645531,0.9475476959618366,0.975954376928798
79,0.9942771229111279,0.9901032152415888,0.9906896679527812
80,0.9934014171219347,0.9983521936998353,0.9878107645707388
81,0.9267367110096796,0.960936527302772,0.9780842007688971
82,0.9965249093194039,0.9953310571521935,0.9967718204503204
83,0.9859890417849043,0.9772860311987747,0.9806037459743632
84,0.9753633377218082,0.9683587399581931,0.9794235989207759
85,0.993007646323497,0.9744564969823101,0.9923888815738755
86,0.9914299143796054,0.9940188752227248,0.9928640386320549
87,0.9551396462112083,0.9322036290445126,0.9516917761242946
88,0.9664475222042964,0.9650212395640853,0.9706688385552976
89,0.9694951144801229,0.9720039096709544,0.9694951144801229
90,0.9692450079612539,0.9608472857644272,0.9692450079612539
91,0.9793822346613129,0.9799861065800048,0.9900788844706745
92,0.9751624804522606,0.9637963834033344,0.9820730010591926
93,0.9893592927469664,0.9727431974327719,0.9932224373488163
94,0.9841833887185876,0.9473661695084982,0.9847903645655687
95,0.9941676696374683,0.989267891708898,0.9934704498973256
96,0.9930876406949621,0.9853113328427666,0.9926813179844136
97,0.9887503590910438,0.9911513444554872,0.9887503590910438
98,0.9902324310019847,0.9800338628020147,0.9853211435618944
99,0.9823710547673813,0.9763406889556889,0.9823710547673813
