query,completo
0,0.9541561578013025
1,0.899221202163175
2,0.9347761901186262
3,0.8310937055872271
4,0.9593235502232003
5,0.9817058637715745
6,0.9750867208012353
7,1.0
8,0.8845136598203285
9,0.867900298137944
10,0.9314332804014379
11,0.978335882397169
12,0.9859481802411728
13,0.9495567389091373
14,0.8800731348118506
15,0.9326956634366722
16,1.0
17,0.9239166642947432
18,0.9008636626471189
19,0.9817058637715745
20,0.8417075470320546
21,0.8939665346563028
22,0.9490373951216797
23,1.0
24,0.9554657482719635
25,1.0
26,0.8555725493144593
27,1.0
28,0.9070267414887097
29,0.9179921621174811
30,1.0
31,0.8626348039134797
32,0.8750083278779094
33,0.8973516100664959
34,1.0
35,0.9351860765200967
36,0.8254140650462192
37,0.9615384615384615
38,0.9512004378882102
39,1.0
40,0.9931506849315068
41,1.0
42,0.952386228294742
43,1.0
44,1.0
45,0.9897001476453393
46,0.9121957753558504
47,0.8529609641400746
48,0.9008636626471189
49,0.9526683906773178
50,1.0
51,0.9787930706003494
52,0.9524676393549896
53,0.8990650565914239
54,0.9239166642947432
55,1.0
56,0.9289884800820886
57,0.9268992020680146
58,0.8517143580581126
59,0.9942282618839202
60,0.862707597512109
61,0.9524676393549896
62,0.9778750038883616
63,0.9088844245658592
64,0.8786968024388724
65,1.0
66,0.8623185103066127
67,0.9648920767479752
68,0.9705669479986534
69,0.9355122650566235
70,0.7280205097573669
71,1.0
72,0.8999811517722646
73,0.9085275412233997
74,0.9743589743589743
75,0.9963630143378128
76,1.0
77,0.9077386014346104
78,0.951689417100503
79,0.9375041639389547
80,0.9080846203219047
81,0.9128579892140183
82,1.0
83,1.0
84,0.9548545885887763
85,0.9504482754268101
86,1.0
87,0.9300609807638879
88,0.8742500917241757
89,0.8510276496847571
90,1.0
91,0.9263563979918666
92,0.9837519117978768
93,0.9129733398803048
94,1.0
95,1.0
96,0.8560999159696564
97,0.980502294157452
98,0.9169120871790903
99,0.9131867149939153
