model,phi,ndcg@10,ndcg@10_std,fit_s
RTR (PDT),1,0.8964,0.0847,1.8
RTR (PDT),2,0.8806,0.0855,1.8
RTR (PDT),4,0.8925,0.0874,1.8
RTR (PDT),6,0.8474,0.102,1.3
RTRwRuleCard,1,0.8901,0.0878,24.9
RTRwRuleCard,2,0.8808,0.0823,63.5
RTRwRuleCard,4,0.8901,0.0804,36.9
RTRwRuleCard,6,0.8587,0.1017,42.6
