query,completo
0,0.9672970532621543
1,0.9885673004109278
2,0.9900584704017723
3,0.9774117873656712
4,0.9778060889711532
5,0.9928388971915667
6,0.9800147422093055
7,0.9811084984177773
8,0.9843300553706624
9,0.9970280526023199
10,0.9987773163703306
11,0.8746314983536766
12,0.9975011037810936
13,0.9962766655019564
14,0.9939839471975832
15,0.9740642829515236
16,0.9783455498654989
17,0.99283931931119
18,0.9706568632092799
19,0.9899279731428997
20,0.9729249038465239
21,0.9756453567320769
22,0.9788009334019544
23,0.9325831368976008
24,0.9816740855740331
25,0.9826061202654388
26,0.9712412851058059
27,0.9964774378474851
28,0.9953205257691076
29,0.940440220411793
30,0.8919468267608233
31,0.9893170148726914
32,0.9839564667686672
33,0.974322851927619
34,0.9766949522639787
35,0.9963833516987419
36,0.9916031381641865
37,0.994556953073479
38,0.9713779494732261
39,0.992914016981633
40,0.99479648135294
41,0.9971259175780862
42,0.9928429946917131
43,0.9965676162254525
44,0.989628452107084
45,0.9979779513086962
46,0.9923296641741627
47,0.9771721162250125
48,0.9941748909182351
49,0.9951606789529832
50,0.9910720825273824
51,0.9801028336344736
52,0.9975397200810435
53,0.9799798950015471
54,0.9927499951523248
55,0.9775521989131184
56,0.9836327649605314
57,0.9934017259195351
58,0.9882456906198627
59,0.9841449600019969
60,0.9934441704961748
61,0.9958079679252442
62,0.9851875641436983
63,0.9882290385455951
64,0.9855226538511941
65,0.9685340231994811
66,0.9839516654904601
67,0.9761824110802361
68,0.9995822436619123
69,0.991424534509027
70,0.9790556556393528
71,0.9964940077423429
72,0.9894971467550461
73,0.9737415791453284
74,0.9568505618422074
75,0.9621149895545721
76,0.9893700640423844
77,0.9844063018922781
78,0.9910228337223614
79,0.9936339949939755
80,0.9876919289005394
81,0.997652979645972
82,0.9914258823562706
83,0.9887117772336964
84,0.9951265845573812
85,0.9608868800972663
86,0.9847995434698462
87,0.980431338793434
88,0.9908212576806604
89,0.9781448650972012
90,0.9864073577769495
91,0.994179459042996
92,0.9885661222293574
93,0.9886840068395045
94,0.9715691854550447
95,0.994686366149901
96,0.982992901136044
97,0.9936194803744612
98,0.9930764402226346
99,0.9927383327358212
