query,completo,solo_r,knn_euclideo
0,0.9606532524391832,0.9512567492857026,0.9559627144069592
1,0.9878106718726238,0.972259202996134,0.9890089550008102
2,0.9835586261395188,0.9615728561119048,0.9768985054620872
3,0.9542411079759132,0.9662067950359086,0.9274260558964992
4,0.9657110302682046,0.9365417597342552,0.9652253316752066
5,0.992102450549868,0.9931886574970067,0.9989458323520304
6,0.9906408721375851,0.9215565283803325,0.9682818928918047
7,0.9336433291858486,0.8796212038307907,0.916934333723702
8,0.9590040687574504,0.96068021247268,0.949597809368448
9,0.9929948365036406,0.9914015001423662,0.9914937538727198
10,0.9939622789402077,0.9754699510356195,0.9843267705088163
11,0.9819498396832403,0.9568177519936862,0.9699776768634768
12,0.9970188881070197,0.9845156948332018,0.9924825807678156
13,0.9837821479497396,0.9882973602072812,0.986235993971557
14,0.9840555694427964,0.9585544015704903,0.9745540048305781
15,0.9885367659800472,0.9259860789245544,0.9823414658661335
16,0.9704571051000879,0.9059246722571055,0.9740506510206693
17,0.9731441634965413,0.9576226955244237,0.9773153239653144
18,0.9793809127347382,0.9584822272717449,0.9732160102881435
19,0.9971703380095271,0.9983360743391054,0.999486479000417
20,0.967201051283405,0.9604544699578017,0.9617933651097539
21,0.9825881176136035,0.9699103959512373,0.9773137492245342
22,0.9710768637472237,0.952541771506022,0.9515624181737763
23,0.9806123986041145,0.9248060390309488,0.9686299499429476
24,0.964469425530784,0.9656233963455674,0.9662295612773872
25,0.9838066642315025,0.9841396750309989,0.9918787608498485
26,0.9619468808945617,0.9424435228589236,0.9480364733588442
27,0.9967933447219081,0.9910967051035682,0.9935587730858626
28,0.9901452836156772,0.9811565861865275,0.9890982698966615
29,0.9907312705687561,0.9648862766435232,0.9860370502841936
30,0.9685021072467452,0.9640399642877531,0.9317495330346485
31,0.9716405939047547,0.9491816557859672,0.9561210029112575
32,0.9787812060324745,0.9586302649703656,0.9757074087658922
33,0.9764637810603779,0.921254718723269,0.9348884155447129
34,0.9849451823974968,0.9419057090136485,0.9561695299630507
35,0.9949360151257698,0.9916247984889814,0.9950890709996951
36,0.9858433990949377,0.9860873571428612,0.9820947320391125
37,0.9802052478541137,0.970008510057797,0.9817312141388144
38,0.9911248073063293,0.9344110219509651,0.9882541629629877
39,0.987703843461296,0.9689956569668726,0.9875963729543744
40,0.9697561744940998,0.917895431465188,0.9658989341356969
41,0.9934590510103826,0.9766999926259801,0.9936955542287791
42,0.9738306270303418,0.9484912018885394,0.989421080137654
43,0.985904935836276,0.9866937204496056,0.9865107044432614
44,0.9777743404132516,0.9542511179877156,0.9657546131481788
45,0.9965205836937933,0.9869027149022147,0.9960147791786944
46,0.9791352259154721,0.9873159023963604,0.9902612383068978
47,0.9865353099500738,0.9731828075956129,0.9865353099500738
48,0.9801922118122385,0.9859111751676963,0.9787692061222475
49,0.9909580867865403,0.9646085037379645,0.9807020117887691
50,0.9916696140465129,0.9201167240945712,0.929998650273016
51,0.9931264810499947,0.9554016522633016,0.979279634685677
52,0.9953360943628169,0.9846843883878048,0.9949680760337569
53,0.9811062500347028,0.9111435268291129,0.9796829536249831
54,0.9840854820085149,0.9794041740903267,0.9840927625363974
55,0.9684272642369361,0.9553892313159571,0.9580655818726238
56,0.9641334959393817,0.9479457921707568,0.9415547165040634
57,0.9920569338203299,0.9727981591275968,0.9933782834057365
58,0.9900969237281672,0.9544362652709296,0.9652216511041051
59,0.9686519689919174,0.9621624010352318,0.9628596118665541
60,0.9743598562152469,0.9676108040887205,0.9793650499465199
61,0.9791971063164681,0.9795214789780238,0.9810435383219266
62,0.9744914024220996,0.9404801638956221,0.9721923083022422
63,0.9621410734542599,0.9536384070625553,0.9820588001825811
64,0.9790568746782312,0.9639264840589594,0.9655486557053116
65,0.9800160115486162,0.9531820469449332,0.9629268306119187
66,0.9857018275358538,0.9620350537301997,0.9723573148696688
67,0.9828238534801201,0.958442270702309,0.9678238620797026
68,0.9952380168175281,0.9997097287461474,0.9951881495385848
69,0.9912942947490188,0.9772892227987641,0.9919096928999259
70,0.9786908935775519,0.9273879972765956,0.9694482200511233
71,0.9771005955630007,0.985837372009259,0.9848424503467202
72,0.9843816303410722,0.954761786389566,0.9844336480818382
73,0.9784546880857342,0.9719952264002463,0.9783554807144411
74,0.9396318038100702,0.9527068826877644,0.9568195156168112
75,0.9741296444424314,0.9802292451801609,0.9597196933190857
76,0.9903538517139376,0.9860740468135677,0.9941005344331004
77,0.9846511576440254,0.9797411601442242,0.9843891624441745
78,0.9748822998346507,0.9475476959618369,0.9759543769287983
79,0.9940484016080117,0.9901032152415891,0.9906896679527815
80,0.9880621882939483,0.9983521936998355,0.987810764570739
81,0.9958665920661948,0.960936527302772,0.9780842007688971
82,0.9969945981666833,0.9953310571521935,0.9967718204503204
83,0.9769557948805303,0.9772860311987749,0.9806037459743634
84,0.9903299214958092,0.9683587399581931,0.9794235989207759
85,0.9846128865908739,0.9744564969823101,0.9923888815738755
86,0.9936349104005882,0.9940188752227248,0.9928640386320549
87,0.9700012079975008,0.9322036290445126,0.9516917761242946
88,0.98287688042209,0.9650212395640853,0.9706688385552976
89,0.9668267065212431,0.9720039096709546,0.9694951144801232
90,0.9769742180964887,0.9608472857644272,0.9692450079612539
91,0.9820676521852257,0.9799861065800048,0.9900788844706745
92,0.9817131964084085,0.9637963834033344,0.9820730010591926
93,0.9896750359590899,0.9727431974327719,0.9932224373488163
94,0.9944618116769672,0.9473661695084984,0.9847903645655689
95,0.9950594452206488,0.989267891708898,0.9934704498973256
96,0.9948960150074618,0.9853113328427666,0.9926813179844136
97,0.9784448617769249,0.9911513444554872,0.9887503590910438
98,0.9918227854576087,0.9800338628020147,0.9853211435618944
99,0.9915573120559167,0.9763406889556892,0.9823710547673815
