query,completo
0,0.7023140468296885
1,0.7942350103200037
2,0.6772687001043113
3,0.7921314258224122
4,0.7847083856540015
5,0.9008636626471189
6,0.5077278402328776
7,0.6512599213178544
8,0.6106486086822356
9,0.6161428575455851
10,0.5767771835268531
11,0.765131554972309
12,0.5899785376207964
13,0.7574422509767669
14,0.5984022981926861
15,0.7703822944393743
16,0.895863359683992
17,0.6740483042431652
18,0.7107672704392611
19,0.707700562119594
20,0.7817392985765207
21,0.6517234062719338
22,0.6219678035153416
23,0.4781041701526745
24,0.9008636626471189
25,0.6720883646959555
26,0.7223072742283486
27,0.733561179872716
28,0.6728005836254556
29,0.37564829539629757
30,0.44497705842547997
31,0.5671063146144512
32,0.7730967754833531
33,0.6781170442647604
34,0.8851021949626572
35,0.7730967754833531
36,0.595629176009518
37,0.6641299579359387
38,0.8106746337609894
39,0.6257708811390159
40,0.8751679856486053
41,0.6100458831490401
42,0.8336913240589419
43,0.9286024279819313
44,0.854220475061645
45,0.6247130969578006
46,0.6781894276186405
47,0.7335011548193804
48,0.7059291487833154
49,0.6893180544111953
50,0.6738146957773641
51,0.3860798127473602
52,0.6177182587854713
53,0.6673444804579359
54,0.5926512167200877
55,0.6673546295859657
56,0.5562018941774405
57,0.859929426424758
58,0.48436613178794613
59,0.8390247304056005
60,0.7806810490388898
61,0.6574291344329253
62,0.6099565265265774
63,0.5587045051727815
64,0.7800955628772291
65,0.6981959364507546
66,0.6004281082261531
67,0.7876290836044624
68,0.5865451507927766
69,0.7516714552589246
70,0.6466525657298398
71,0.7580320489164958
72,0.6752358359856022
73,0.8162241565852166
74,0.7557265989921886
75,0.8176278706344277
76,0.5852060854357203
77,0.7201842415910941
78,0.7550213899917172
79,0.5743293304939935
80,0.6883247625947592
81,0.8478333285894863
82,0.606379508166116
83,0.6853673824705219
84,0.3723479213740908
85,0.4172723370068559
86,0.7297663115503477
87,0.6203052752626803
88,0.7528736381685023
89,0.6469189524106994
90,0.8140824737846858
91,0.6421632211075896
92,0.7789890119762
93,0.6696624774067379
94,0.5695818843141973
95,0.6706160729146535
96,0.6193408044892533
97,0.5915224776331873
98,0.49811907858448273
99,0.6054295196299336
