query,completo
0,0.9616701261829397
1,0.9674833903386489
2,0.9488319462171313
3,0.9550313630547734
4,1.0
5,1.0
6,1.0
7,1.0
8,0.9678575624849973
9,0.9635426493257677
10,0.9802207587230863
11,1.0
12,0.9392148330510315
13,0.9672473023343321
14,0.9936070796552217
15,0.9779188331057871
16,1.0
17,0.9474918978605167
18,1.0
19,0.9817058637715745
20,0.8827367447177921
21,0.9535445850021051
22,0.9728526253400696
23,1.0
24,0.9817058637715745
25,1.0
26,0.9508459082189303
27,1.0
28,1.0
29,0.9350624941733298
30,1.0
31,0.9324470584956084
32,0.9772274824155976
33,0.9758089901245821
34,1.0
35,0.9533497162960898
36,0.9048619998666148
37,0.975
38,0.9872788203615118
39,1.0
40,1.0
41,1.0
42,0.9504318313235595
43,1.0
44,1.0
45,1.0
46,0.9504318313235595
47,0.9152037085598801
48,0.9569217794333542
49,0.9985958121484935
50,1.0
51,1.0
52,1.0
53,0.8799900948233071
54,0.9772274824155976
55,1.0
56,0.9482475088564121
57,0.9705669479986534
58,0.8561703548554243
59,1.0
60,1.0
61,0.9634117275431491
62,1.0
63,1.0
64,0.9469963914539469
65,1.0
66,0.9407738896802829
67,0.9938920898506084
68,0.9938920898506084
69,0.9258876532762055
70,0.9918514495859826
71,1.0
72,0.9683441356612104
73,0.9720628422825806
74,0.9897380495565536
75,0.9994419229105355
76,1.0
77,0.9504318313235595
78,0.9759798994748754
79,1.0
80,0.9574741061754102
81,1.0
82,0.9877841797012169
83,1.0
84,0.9832966479647695
85,1.0
86,1.0
87,0.9971255570461837
88,0.9411338959973067
89,0.8366964194832284
90,1.0
91,0.915436946501329
92,1.0
93,0.9055914326758097
94,1.0
95,0.9569217794333542
96,0.9987268737468047
97,0.9956672557915192
98,0.9545549740517536
99,1.0
