query,completo
0,0.4051548593947358
1,0.4733036816026012
2,0.6015238468239746
3,0.43647971817627573
4,0.46716592339487145
5,0.5962190600420052
6,0.37342603639395094
7,0.45218821781467644
8,0.5854757847114861
9,0.31158891218741414
10,0.5205827747173352
11,0.5009862200153874
12,0.5882770895599264
13,0.4756468935258694
14,0.48622320856493173
15,0.32134465882809377
16,0.4335975918640937
17,0.5742215103335288
18,0.515187173171431
19,0.505963581613038
20,0.453950188201922
21,0.707869029150594
22,0.6271622134508871
23,0.5785858925625829
24,0.6504206170401567
25,0.3543758860352251
26,0.6434526958315993
27,0.44658267292982423
28,0.44419066776761557
29,0.33181147401671063
30,0.4427420110633444
31,0.6053559793245038
32,0.7752429894088069
33,0.5604336779019451
34,0.5011535327642436
35,0.37366509647244367
36,0.3449726431206138
37,0.6059892060530968
38,0.5946939867018559
39,0.5480292307475216
40,0.3413046993593508
41,0.43303084448439705
42,0.6217540847026054
43,0.6393900923960499
44,0.6162983871542901
45,0.5510786858046645
46,0.5431634286542456
47,0.44154050749724183
48,0.5114680320386098
49,0.673240135095032
50,0.5129705102758703
51,0.6038377988749206
52,0.5682533420945757
53,0.6390251378054033
54,0.7366570753965153
55,0.677332919235781
56,0.5229230615659175
57,0.5312400557613665
58,0.3264119709509752
59,0.5704858308368858
60,0.5367112996965508
61,0.6840148398475014
62,0.5451468619071714
63,0.5671464235384437
64,0.5364106302014867
65,0.4729422837238349
66,0.539595616304799
67,0.5777745404491602
68,0.3837234078273402
69,0.5547120889175748
70,0.5358872682830931
71,0.6782376186517705
72,0.5023014466388616
73,0.3669578354416403
74,0.3692072150856118
75,0.6248541790039289
76,0.6750400198426263
77,0.4014978841130299
78,0.43972565535265007
79,0.3025141722726681
80,0.5679305187982088
81,0.46064213938094073
82,0.41174682340469215
83,0.4645443487676712
84,0.39832494152761955
85,0.7017029123267415
86,0.6434476178516761
87,0.5259949923344722
88,0.43606103515888955
89,0.5075804208429213
90,0.5808546169970449
91,0.5002495258506111
92,0.6417898868547228
93,0.5500360250962145
94,0.5278200091917749
95,0.589193794032476
96,0.4141664576241396
97,0.7931473302641652
98,0.27841276130196685
99,0.5279868521410326
