query,completo,solo_r,knn_euclideo
0,0.9070139160685879,0.9264108855606933,0.9193158887481008
1,0.9650767111893772,0.8882063442366048,0.9491079144011154
2,0.9341096603032857,0.9389307716737556,0.9948297495927841
3,0.8954127698300623,0.8708150959277929,0.8361775323309589
4,0.9817058637715745,0.9817058637715745,0.9817058637715745
5,0.9954377208575237,1.0,0.9954377208575237
6,1.0,1.0,1.0
7,0.9712811862889028,0.9712811862889028,0.9712811862889028
8,0.9641434667783817,0.9527189347012317,0.9905452459553897
9,0.9482168060705428,0.9899348916509031,0.9482168060705428
10,0.9630217209375898,0.983833719172463,0.9524044347028549
11,1.0,1.0,1.0
12,0.8928796741477854,0.9473044872001273,0.8941486061570109
13,0.9947226360532766,0.9813927491171477,0.9973630539536683
14,0.9805174813985983,0.9459942731357732,0.986451648785166
15,0.973745774113859,0.9142337818387397,0.9749232146973144
16,1.0,1.0,1.0
17,0.9411338959973067,0.9565836745292976,0.9411338959973067
18,0.9982454383203644,1.0,0.9982454383203644
19,0.9712811862889028,0.933037364884516,0.9712811862889028
20,0.8844464204366218,0.88604123787265,0.8837205494525145
21,0.9630914382240522,0.9454659688621043,0.9110192931783161
22,0.9387670590771439,0.885444219721632,0.9315647830478521
23,1.0,1.0,0.993825582480473
24,0.9817058637715745,0.9233852542132969,0.9554657482719634
25,1.0,1.0,1.0
26,0.9292000729433735,0.8982173067943859,0.9248709058882622
27,0.9924258290086256,1.0,0.9905116641981582
28,1.0,1.0,1.0
29,0.9809137635403145,0.9840948029502621,0.9809137635403145
30,1.0,1.0,1.0
31,0.9184998210841291,0.8745555200282626,0.9267006359606232
32,0.9296362311593085,0.9257560135305574,0.9296362311593085
33,0.9715097099805214,0.8879833196402881,0.9751238805599203
34,1.0,1.0,1.0
35,0.985720082864563,0.957119189696379,0.983067954209822
36,0.9356375088911106,0.9238521410745472,0.9233184448461977
37,0.962962962962963,1.0,0.962962962962963
38,0.9955082081581627,0.9497907235166867,0.9955082081581627
39,1.0,1.0,1.0
40,0.9948690247782769,1.0,0.9898713216402347
41,0.984375,1.0,0.9833333333333332
42,0.978478672068653,1.0,0.9784114389081755
43,0.9930321109801263,1.0,0.9930321109801263
44,0.993715237354624,1.0,0.9905660377358492
45,1.0,0.9083928520601641,1.0
46,0.9008636626471189,0.9477275518898809,0.9008636626471189
47,0.9120268561210592,0.8724972728011964,0.9350183894672097
48,1.0,1.0,1.0
49,0.9847558739501275,0.9572665349322954,0.9985958121484935
50,0.9857767882139465,0.9138900830033843,0.989981133836239
51,0.9615384615384615,0.9633180389503199,0.9615384615384615
52,0.9712811862889028,0.9418120109492606,0.9712811862889028
53,0.9693962963851663,0.9236930629729504,0.9800213013631186
54,0.9239166642947432,0.8902249950189607,0.9113991529088643
55,1.0,1.0,1.0
56,0.9659508196989955,0.8456086253672631,0.9473892941568738
57,0.9705669479986534,0.8902249950189607,0.9705669479986534
58,0.8525186732943868,0.8548113414929892,0.8525186732943868
59,0.9918032786885247,1.0,0.9918032786885247
60,1.0,1.0,1.0
61,0.9571346095197871,1.0,0.9571346095197871
62,0.9782608695652175,1.0,0.9772727272727272
63,0.9601702281577941,0.9344290097887917,0.9712811862889028
64,0.8786968024388724,0.8841083045941931,0.895059370502096
65,0.9767441860465116,1.0,0.9651162790697674
66,0.914105646960961,0.9003462583728619,0.907583159177466
67,0.9807525343255253,0.9897001476453393,0.9804542805481982
68,0.9232254874924438,0.8896410198024447,0.8912496540601889
69,0.9196316556189337,0.9273596527249751,0.9196316556189337
70,0.9430591659078813,0.9419924783473032,0.9409225554687555
71,1.0,1.0,1.0
72,0.981475251514077,0.9589498430338027,0.9869875740279859
73,0.9459107482376373,0.9490297216502336,0.9677435621258104
74,0.978723404255319,1.0,0.978723404255319
75,0.9982449322749548,1.0,0.9973425835521318
76,1.0,1.0,1.0
77,0.9060632117862105,0.938399648590749,0.9081823187715081
78,0.9063103666911592,0.8977576024888442,0.9182307683525223
79,1.0,1.0,1.0
80,0.9589375867260261,0.9969101826239769,0.9589375867260261
81,0.9986372704239246,1.0,0.9981652472563077
82,0.9897001476453393,0.9326166614484351,1.0
83,1.0,0.938399648590749,1.0
84,0.995524526087871,0.9926455163348878,0.9953210954555015
85,0.9523809523809523,1.0,0.9523809523809523
86,1.0,1.0,0.9895833333333333
87,0.9655144541397641,0.8581051191649522,0.9667511330850107
88,0.9386683314380692,0.9686852374045504,0.9752573463586551
89,0.8511278433270631,0.8906835346312274,0.8665048509813845
90,1.0,1.0,1.0
91,0.907583159177466,0.9083928520601641,0.850834658045224
92,0.98,1.0,0.98
93,0.9335359973637719,0.9065260980764768,0.9454659688621043
94,1.0,1.0,1.0
95,0.9643507295162422,0.9643507295162422,0.9643507295162422
96,0.9732425717999723,0.9463923800181311,0.9595196949247574
97,0.988675212107479,1.0,0.9878941922528223
98,0.9545549740517536,0.8461538461538459,0.9447177211517988
99,0.9777509329948763,0.9803779653324356,0.9763580231162872
