query,completo
0,0.9463376572016772
1,0.9705669479986534
2,0.9656640616064036
3,0.95965068787752
4,1.0
5,1.0
6,1.0
7,0.9524676393549896
8,0.9016676000712197
9,0.8122754098755007
10,0.9118639840377969
11,0.9633180389503199
12,0.9435593591982605
13,0.8811439136064357
14,0.9201048561927255
15,0.9551957938774353
16,1.0
17,0.7699906484191157
18,1.0
19,0.9569217794333542
20,0.8827367447177921
21,0.9283272902350127
22,0.91887218606167
23,1.0
24,0.9817058637715745
25,1.0
26,0.8935674243317144
27,1.0
28,0.9008636626471189
29,0.9415232441294517
30,0.9652843890316114
31,0.8549253375737716
32,0.8786528855799571
33,0.9658672137103086
34,1.0
35,0.8675136999802947
36,0.8828066382969203
37,1.0
38,0.9368398880004901
39,0.9681896059005243
40,0.9321572773044168
41,1.0
42,0.9435593591982605
43,1.0
44,0.9620594522304912
45,1.0
46,0.9435593591982605
47,0.8548177705967083
48,0.9008636626471189
49,0.9943899986877236
50,0.8899541168509599
51,1.0
52,1.0
53,0.8799900948233071
54,0.9411338959973067
55,1.0
56,0.9121336006128031
57,0.960010250713034
58,0.8704419588512263
59,1.0
60,0.9411338959973067
61,0.9634117275431491
62,1.0
63,1.0
64,0.9040621645906634
65,1.0
66,0.9407738896802829
67,0.9658058204483855
68,0.9705669479986534
69,0.9008636626471189
70,0.9695992761997811
71,1.0
72,0.8506029279516769
73,0.9720628422825806
74,0.8923085103615064
75,1.0
76,1.0
77,1.0
78,0.9056439859871999
79,1.0
80,0.9654244887907297
81,0.8167331394535464
82,0.9533497162960898
83,1.0
84,0.9320739411743277
85,1.0
86,1.0
87,0.9936070796552217
88,0.8760260068563122
89,0.832096140160507
90,1.0
91,0.8478333285894863
92,1.0
93,0.846799221779581
94,1.0
95,0.7258589720868737
96,0.9987268737468047
97,1.0
98,0.9308851311888157
99,0.9533497162960898
