query,completo,solo_r,knn_euclideo
0,0.9450498637428418,0.9264108855606933,0.9218982018323549
1,0.8489450290331269,0.8882063442366048,0.9650767111893772
2,0.9328244889233643,0.9389307716737556,0.934426434352936
3,0.8556449608337748,0.8708150959277929,0.8704161540907749
4,0.9956903368794828,0.9817058637715745,0.9956903368794828
5,0.9008636626471189,1.0,0.9008636626471189
6,1.0,1.0,0.9566717647943379
7,1.0,0.9712811862889028,0.9818344865520349
8,0.9685552134287936,0.9527189347012317,0.9678575624849977
9,0.9484117293551879,0.9899348916509031,0.9424470768450462
10,0.9717254702250566,0.983833719172463,0.8741598795387098
11,0.9857142857142859,1.0,1.0
12,0.9775768833635737,0.9473044872001273,0.888309426600395
13,0.9912598524203566,0.9813927491171477,0.9605781491057246
14,0.9779878136307816,0.9459942731357732,0.99202455567619
15,0.9795304455981552,0.9142337818387397,0.9325672206373217
16,0.9870015294383014,1.0,0.9870015294383014
17,0.9411338959973067,0.9565836745292976,0.920142397782264
18,0.9973084443308621,1.0,0.9978630757642817
19,0.9029514271073561,0.933037364884516,0.9817058637715745
20,0.9423592518470052,0.88604123787265,0.8994960921806209
21,0.9627183064213071,0.9454659688621043,0.9274895843044451
22,0.9420170781176289,0.885444219721632,0.9394574248809162
23,0.9942282618839202,1.0,0.9778750038883616
24,0.9465588979263562,0.9233852542132969,0.9817058637715745
25,0.9891304347826088,1.0,1.0
26,0.9272980762817041,0.8982173067943859,0.9508459082189303
27,0.9885207488865848,1.0,0.9885207488865848
28,1.0,1.0,1.0
29,0.9633180389503199,0.9840948029502621,1.0
30,1.0,1.0,1.0
31,0.9228242495351279,0.8745555200282626,0.9143665137694635
32,0.9411338959973067,0.9257560135305574,0.9411338959973067
33,0.9085569518266515,0.8879833196402881,0.9502477611198407
34,0.9893617021276596,1.0,0.9811320754716981
35,0.9402007403750131,0.957119189696379,0.9169905193968872
36,0.9356375088911105,0.9238521410745472,0.9219422589509351
37,0.962962962962963,1.0,0.9642857142857143
38,0.9361146754526749,0.9497907235166867,0.9692244909755038
39,0.9791666666666666,1.0,0.9795918367346939
40,0.993421052631579,1.0,0.9898713216402347
41,0.9696969696969698,1.0,0.9571428571428572
42,0.8918380301792619,1.0,0.9008636626471189
43,0.9811457120638717,1.0,0.9803761492909685
44,0.9940643908349225,1.0,0.990909090909091
45,0.9056280400157923,0.9083928520601641,0.9411338959973067
46,0.9008636626471189,0.9477275518898809,0.9008636626471189
47,0.890706741906405,0.8724972728011964,0.8982217231214116
48,0.9760441494759934,1.0,0.9758130590965818
49,0.9747174379342526,0.9572665349322954,0.9985958121484935
50,0.975,0.9138900830033843,0.9903454562421942
51,0.9615384615384615,0.9633180389503199,0.9615384615384615
52,0.9634117275431491,0.9418120109492606,0.9634117275431491
53,0.8978346097371978,0.9236930629729504,0.8596157453674702
54,0.9211645351792047,0.8902249950189607,0.9288060732011184
55,1.0,1.0,1.0
56,0.9283767404224548,0.8456086253672631,0.8890680891313207
57,0.906407788852166,0.8902249950189607,0.9705669479986534
58,0.8434502641881277,0.8548113414929892,0.8478333285894863
59,0.9963032920143239,1.0,0.9765624999999999
60,0.9462202974878748,1.0,1.0
61,0.9008636626471189,1.0,0.9008636626471189
62,0.9583333333333334,1.0,0.9782608695652175
63,0.9959065924198527,0.9344290097887917,0.9801153493978861
64,0.9148833795967078,0.8841083045941931,0.9196034206461825
65,0.9583333333333334,1.0,0.9489795918367346
66,0.9219055324633305,0.9003462583728619,0.9005915224427881
67,0.9722198473055462,0.9897001476453393,0.9722198473055462
68,0.9845129353014285,0.8896410198024447,0.8873972094363799
69,0.8841810022277279,0.9273596527249751,0.8841810022277279
70,0.9434043658603325,0.9419924783473032,0.9413711325646552
71,0.9790963329403793,1.0,0.9675038235957535
72,0.9564417996653439,0.9589498430338027,0.931724903600557
73,0.9654244887907296,0.9490297216502336,0.9693310284275741
74,0.9837519117978768,1.0,0.9705882352941176
75,0.9974024997669332,1.0,0.9954406698095045
76,1.0,1.0,0.9799673190678636
77,0.8953108274726065,0.938399648590749,0.8926739929866906
78,0.8443676746781091,0.8977576024888442,0.9316448576765529
79,0.9976410321866814,1.0,0.9955862802121506
80,0.9588452546438258,0.9969101826239769,0.9588908051377112
81,0.9966003110925702,1.0,0.9946400770451355
82,0.9723897539337096,0.9326166614484351,0.9705669479986534
83,1.0,0.938399648590749,1.0
84,0.9942377354353227,0.9926455163348878,0.9932867891318066
85,0.9545454545454546,1.0,0.9523809523809523
86,0.9918759558989384,1.0,0.9803921568627451
87,0.9208492447976585,0.8581051191649522,0.9944518474679614
88,0.9746350021017129,0.9686852374045504,0.9382480022898668
89,0.8258632157976714,0.8906835346312274,0.8366964194832284
90,1.0,1.0,1.0
91,0.914105646960961,0.9083928520601641,0.850834658045224
92,0.9528301886792453,1.0,0.9705882352941176
93,0.8803157048075188,0.9065260980764768,0.8859267673020114
94,1.0,1.0,1.0
95,0.9884501028370142,0.9643507295162422,0.9896009017218171
96,0.9599082341995704,0.9463923800181311,0.9657669185556652
97,0.968382098633706,1.0,0.9840423443332658
98,0.9545549740517536,0.8461538461538459,0.9545549740517536
99,0.9707568843493136,0.9803779653324356,0.9066994325921797
