query,completo
0,0.954066257132646
1,0.985453294079262
2,0.9746048747928392
3,0.96853963834088
4,0.961102036035709
5,0.9958967554288715
6,0.9395722156505482
7,0.9327104271518436
8,0.956310171618078
9,0.967945827980766
10,0.9585530032798742
11,0.8851901404529816
12,0.9946513238773842
13,0.966145362194856
14,0.9868364660278767
15,0.9510749252633343
16,0.9782093622636674
17,0.9817646864361752
18,0.9701428022511452
19,0.9847264306572246
20,0.9371611556729746
21,0.9285270136268614
22,0.9345816965741541
23,0.9162819669608372
24,0.9773291715597614
25,0.9835615205731307
26,0.9560896547356958
27,0.9565283101819959
28,0.991993975128829
29,0.9061670173033836
30,0.8618273542767755
31,0.9534924745178385
32,0.9556327302456026
33,0.9804919205661922
34,0.9548617395439032
35,0.9585669782188266
36,0.9633387307884269
37,0.9920851469723114
38,0.9810559887271785
39,0.8482981349559426
40,0.9601971883419643
41,0.9966070411585592
42,0.9865490566003139
43,0.9876221995545593
44,0.9504161624669892
45,0.9659531090039121
46,0.9779149473427049
47,0.973297231811119
48,0.9879134056916881
49,0.972921917114034
50,0.9423048612890572
51,0.9841455398129174
52,0.9850254426003747
53,0.950728238400707
54,0.9675870424550528
55,0.9626697507778079
56,0.9390388769394429
57,0.8648332857714203
58,0.9631012224400166
59,0.9349674184567219
60,0.9865609454752203
61,0.9929606396164257
62,0.9787547762925144
63,0.9369457302074325
64,0.9186568930715837
65,0.927569823690494
66,0.938915369971781
67,0.9812263044008899
68,0.9720040201075063
69,0.9818519417728245
70,0.7952509533858949
71,0.9598180887510175
72,0.9624644469760831
73,0.9741792887209687
74,0.9297210812250588
75,0.9855646265122461
76,0.9656413672652351
77,0.9825735526757317
78,0.963998077515639
79,0.9782619000192913
80,0.9699584235363241
81,0.9556463359050361
82,0.9781423404691476
83,0.9777977146849868
84,0.9123027784101763
85,0.9349171716570074
86,0.988789930338872
87,0.9652762072651706
88,0.9745703128121749
89,0.9808134081049926
90,0.9704199268534014
91,0.9212511152959465
92,0.9770153967915063
93,0.9833210760868392
94,0.9799654434287876
95,0.9598879484231122
96,0.9872254846334566
97,0.9432862485516436
98,0.9801841736605584
99,0.9700850399384708
